unix,elapsed_s,node,role,status,percent,online,total,retrying,cpu_pct,rss_mb
1783457987,2410,0,master,Healthy,100,6,6,0,5.9,84
1783457987,2410,1,master,Syncing,23,6,6,0,6.9,80
1783457987,2410,2,master,Syncing,11,6,6,0,6.0,80
1783457987,2410,3,viewer,Paused,0,6,6,0,2.2,63
1783457987,2410,4,viewer,Syncing,23,6,6,0,6.6,71
1783458033,2456,0,master,Healthy,100,6,6,0,4.1,84
1783458033,2456,1,master,Syncing,23,6,6,0,4.2,75
1783458033,2456,2,master,Syncing,11,6,6,0,4.1,78
1783458033,2456,3,viewer,Paused,0,6,6,0,2.2,62
1783458033,2456,4,viewer,Syncing,23,6,6,0,4.2,71
1783458033,2456,5,viewer,Syncing,22,6,6,0,3.0,74
1783458063,2486,0,master,Healthy,100,6,6,0,1.9,85
1783458064,2486,1,master,Syncing,23,6,6,0,6.9,72
1783458075,2486,2,master,Syncing,12,6,6,0,4.9,79
1783458075,2486,3,viewer,Paused,0,6,6,0,2.2,62
1783458075,2486,4,viewer,Syncing,23,6,6,0,5.6,67
1783458121,2544,0,master,Healthy,100,6,6,0,6.0,86
1783458121,2544,1,master,Syncing,24,6,6,0,8.0,76
1783458132,2544,2,master,Syncing,12,6,6,0,3.6,80
1783458132,2544,3,viewer,Paused,0,5,6,0,2.4,62
1783458132,2544,4,viewer,Syncing,23,5,6,0,7.4,69
1783458132,2544,5,viewer,Syncing,23,5,6,0,8.0,76
1783458165,2586,0,master,Healthy,100,6,6,0,3.3,87
1783458165,2586,1,master,Syncing,24,6,6,0,8.8,81
1783458165,2586,2,master,Syncing,12,6,6,0,7.4,86
1783458165,2586,3,viewer,Paused,0,6,6,0,1.7,62
1783458165,2586,4,viewer,Syncing,23,6,6,0,6.7,74
1783458165,2586,5,viewer,Syncing,23,6,6,0,8.5,80
1783458195,2619,0,master,Healthy,100,6,6,0,3.3,87
1783458204,2619,1,master,Syncing,24,6,6,0,4.9,74
1783458205,2619,2,master,Syncing,12,6,6,0,4.1,73
1783458205,2619,3,viewer,Paused,0,6,6,0,1.1,62
1783458205,2619,4,viewer,Syncing,23,6,6,0,4.7,74
1783458205,2619,5,viewer,Syncing,23,6,6,0,5.4,73
1783458237,2659,0,master,Healthy,100,5,6,0,2.3,87
1783458238,2659,1,master,Syncing,24,5,6,0,6.1,82
1783458238,2659,2,master,Syncing,12,5,6,0,3.8,79
1783458238,2659,3,viewer,Paused,0,5,6,0,0.4,62
1783458248,2659,4,viewer,Syncing,24,6,6,0,5.2,70
1783458248,2659,5,viewer,Syncing,23,6,6,0,6.0,82
1783458280,2702,0,master,Healthy,100,6,6,0,3.0,87
1783458296,2702,2,master,Syncing,12,5,6,0,4.0,81
1783458296,2702,3,viewer,Syncing,3,5,6,0,1.2,63
1783458296,2702,4,viewer,Syncing,24,5,6,0,3.5,74
1783458296,2702,5,viewer,Syncing,23,5,6,0,3.7,82
1783458332,2751,0,master,Healthy,100,6,6,0,3.8,87
1783458334,2751,1,master,Syncing,25,6,6,0,1.9,82
1783458334,2751,2,master,Syncing,12,6,6,0,1.9,82
1783458336,2751,3,viewer,Syncing,3,6,6,0,2.7,62
1783458336,2751,4,viewer,Syncing,24,6,6,0,5.4,79
1783458336,2751,5,viewer,Syncing,23,6,6,0,4.0,77
1783458369,2790,0,master,Healthy,100,6,6,0,1.4,87
1783458373,2790,1,master,Syncing,25,6,6,0,3.8,86
1783458374,2790,2,master,Syncing,12,6,6,0,1.9,82
1783458374,2790,3,viewer,Syncing,3,6,6,0,2.3,60
1783458374,2790,4,viewer,Syncing,24,6,6,0,5.3,80
1783458374,2790,5,viewer,Syncing,23,6,6,0,3.5,83
1783458405,2828,0,master,Healthy,100,6,6,0,2.7,87
1783458440,2828,3,viewer,Syncing,3,4,6,0,3.0,65
1783458440,2828,4,viewer,Syncing,24,4,6,0,4.1,80
1783458514,2933,0,master,Healthy,100,6,6,0,3.6,86
1783458516,2933,1,master,Syncing,25,6,6,0,4.3,88
1783458521,2933,2,master,Syncing,12,6,6,0,2.8,91
1783458523,2933,3,viewer,Syncing,3,6,6,0,3.5,64
1783458523,2933,4,viewer,Syncing,24,6,6,0,4.4,81
1783458523,2933,5,viewer,Syncing,24,6,6,0,2.8,81
1783458553,2977,0,master,Healthy,100,6,6,0,2.6,86
1783458556,2977,1,master,Syncing,25,6,6,0,7.4,91
1783458560,2977,2,master,Syncing,12,6,6,0,5.6,96
1783458560,2977,3,viewer,Syncing,3,6,6,0,3.4,79
1783458560,2977,4,viewer,Syncing,24,6,6,0,3.6,80
1783458560,2977,5,viewer,Syncing,24,6,6,0,5.5,84
1783458600,3014,0,master,Healthy,100,5,6,0,1.3,86
1783458618,3014,2,master,Syncing,12,4,6,0,4.5,96
1783458633,3014,4,viewer,Syncing,24,4,6,0,2.7,80
1783458642,3014,5,viewer,Syncing,24,4,6,0,4.7,84
1783458721,3103,2,master,Syncing,12,3,6,0,1.9,96
1783458746,3103,4,viewer,Syncing,24,2,6,0,1.1,80
1783458808,3220,0,master,Healthy,100,4,6,0,0.5,86
1783458808,3220,1,master,Syncing,25,5,6,0,1.3,80
1783458809,3220,2,master,Syncing,12,5,6,0,1.0,96
1783458824,3220,4,viewer,Syncing,24,5,6,0,1.1,80
1783458825,3220,5,viewer,Syncing,24,5,6,0,1.1,77
1783458860,3280,0,master,Healthy,100,5,6,0,0.8,86
1783458879,3280,2,master,Syncing,12,6,6,0,1.8,96
1783458879,3280,3,viewer,Syncing,4,6,6,0,1.3,64
1783458879,3280,4,viewer,Syncing,24,6,6,0,1.6,80
1783458879,3280,5,viewer,Syncing,24,6,6,0,2.5,77
1783458916,3333,0,master,Healthy,100,6,6,0,1.3,86
1783458919,3333,1,master,Syncing,25,6,6,0,2.2,94
1783458931,3333,2,master,Syncing,12,6,6,0,1.7,96
1783458933,3333,3,viewer,Syncing,4,6,6,0,1.8,69
1783458933,3333,4,viewer,Syncing,24,6,6,0,1.6,80
1783458933,3333,5,viewer,Syncing,24,6,6,0,1.8,78
1783458967,3387,0,master,Healthy,100,5,6,0,0.9,86
